subject_ID,trial_no,stim_condition,answer,percept_resp,conf_resp,correct,percept_rt,conf_rt,stim_size,stim_dur,stim_contrast,stim_tilt_diff,text_stim_condition
24,364,3,1,1,4,1,535.0,223.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,365,3,0,0,4,1,786.0,216.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,366,9,1,1,4,1,272.0,173.0,150.0,100.0,0.75,2.508190700142546,baseline
24,367,4,0,1,4,0,1695.0,960.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,368,8,1,1,4,1,432.0,163.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,369,2,1,1,4,1,237.0,138.0,225.0,100.0,0.75,2.508190700142546,size_high
24,370,4,0,0,4,1,352.0,168.0,150.0,500.0,0.75,2.508190700142546,dur_high
24,371,9,1,1,4,1,536.0,170.0,150.0,100.0,0.75,2.508190700142546,baseline
24,372,3,0,0,4,1,544.0,121.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,373,7,0,0,4,1,337.0,136.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,374,6,1,1,4,1,605.0,140.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,375,6,0,0,4,1,325.0,121.0,150.0,100.0,0.1,2.508190700142546,noise_low
24,376,9,1,1,4,1,417.0,42.0,150.0,100.0,0.75,2.508190700142546,baseline
24,377,8,1,1,4,1,374.0,88.0,150.0,100.0,0.75,5.016381400285092,tilt_high
24,378,5,1,1,4,1,408.0,171.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,379,5,0,1,4,0,461.0,84.0,150.0,100.0,0.9,2.508190700142546,noise_high
24,380,9,0,0,4,1,694.0,126.0,150.0,100.0,0.75,2.508190700142546,baseline
24,381,7,1,1,4,1,361.0,122.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,382,3,0,0,4,1,724.0,121.0,150.0,33.0,0.75,2.508190700142546,dur_low
24,383,7,1,1,4,1,335.0,128.0,150.0,100.0,0.75,1.254095350071273,tilt_low
24,384,5,0,1,1,0,1022.0,274.0,150.0,100.0,0.9,2.508190700142546,noise_high
